security_id,provider_symbol,themes,asset_track,bars,first,last
TKO,TKO,media_streaming,stock,2943,2015-01-02,2026-09-16
SNAP,SNAP,social_internet,stock,2399,2017-03-02,2026-09-16
PINS,PINS,social_internet,stock,1863,2019-04-18,2026-09-16
RDDT,RDDT,social_internet,stock,624,2024-03-21,2026-09-16
BIDU,BIDU,social_internet|china_adr,stock,2943,2015-01-02,2026-09-16
BABA,BABA,social_internet|china_adr,stock,2943,2015-01-02,2026-09-16
PDD,PDD,social_internet|china_adr,stock,2046,2018-07-26,2026-09-16
XOM,XOM,energy,stock,2943,2015-01-02,2026-09-16
CVX,CVX,energy,stock,2943,2015-01-02,2026-09-16
COP,COP,energy,stock,2943,2015-01-02,2026-09-16
SLB,SLB,energy,stock,2943,2015-01-02,2026-09-16
EOG,EOG,energy,stock,2943,2015-01-02,2026-09-16
MPC,MPC,energy,stock,2943,2015-01-02,2026-09-16
VLO,VLO,energy,stock,2943,2015-01-02,2026-09-16
PSX,PSX,energy,stock,2943,2015-01-02,2026-09-16
OXY,OXY,energy,stock,2943,2015-01-02,2026-09-16
DVN,DVN,energy,stock,2943,2015-01-02,2026-09-16
NEE,NEE,utilities,stock,2943,2015-01-02,2026-09-16
DUK,DUK,utilities,stock,2943,2015-01-02,2026-09-16
SO,SO,utilities,stock,2943,2015-01-02,2026-09-16
AEP,AEP,utilities,stock,2943,2015-01-02,2026-09-16
EXC,EXC,utilities,stock,2943,2015-01-02,2026-09-16
SRE,SRE,utilities,stock,2943,2015-01-02,2026-09-16
D,D,utilities,stock,2943,2015-01-02,2026-09-16
PCG,PCG,utilities,stock,2943,2015-01-02,2026-09-16
VST,VST,utilities,stock,2500,2016-10-05,2026-09-16
CEG,CEG,utilities,stock,1169,2022-01-19,2026-09-16
LMT,LMT,defense_aero,stock,2943,2015-01-02,2026-09-16
RTX,RTX,defense_aero,stock,2943,2015-01-02,2026-09-16
NOC,NOC,defense_aero,stock,2943,2015-01-02,2026-09-16
GD,GD,defense_aero,stock,2943,2015-01-02,2026-09-16
BA,BA,defense_aero,stock,2943,2015-01-02,2026-09-16
LHX,LHX,defense_aero,stock,2943,2015-01-02,2026-09-16
TDG,TDG,defense_aero,stock,2943,2015-01-02,2026-09-16
HEI,HEI,defense_aero,stock,2943,2015-01-02,2026-09-16
TXT,TXT,defense_aero,stock,2943,2015-01-02,2026-09-16
DAL,DAL,airlines,stock,2943,2015-01-02,2026-09-16
UAL,UAL,airlines,stock,2943,2015-01-02,2026-09-16
AAL,AAL,airlines,stock,2943,2015-01-02,2026-09-16
LUV,LUV,airlines,stock,2943,2015-01-02,2026-09-16
ALK,ALK,airlines,stock,2943,2015-01-02,2026-09-16
JBLU,JBLU,airlines,stock,2943,2015-01-02,2026-09-16
RYAAY,RYAAY,airlines,stock,2943,2015-01-02,2026-09-16
CPA,CPA,airlines,stock,2943,2015-01-02,2026-09-16
PLD,PLD,real_estate,stock,2943,2015-01-02,2026-09-16
AMT,AMT,real_estate,stock,2943,2015-01-02,2026-09-16
EQIX,EQIX,real_estate,stock,2943,2015-01-02,2026-09-16
CCI,CCI,real_estate,stock,2943,2015-01-02,2026-09-16
SPG,SPG,real_estate,stock,2943,2015-01-02,2026-09-16
O,O,real_estate,stock,2943,2015-01-02,2026-09-16
PSA,PSA,real_estate,stock,2943,2015-01-02,2026-09-16
DLR,DLR,real_estate,stock,2943,2015-01-02,2026-09-16
WELL,WELL,real_estate,stock,2943,2015-01-02,2026-09-16
VICI,VICI,real_estate,stock,2188,2018-01-02,2026-09-16
MARA,MARA,crypto,stock,2943,2015-01-02,2026-09-16
RIOT,RIOT,crypto,stock,2631,2016-03-31,2026-09-16
MSTR,MSTR,crypto,stock,2943,2015-01-02,2026-09-16
HUT,HUT,crypto,stock,2143,2018-03-08,2026-09-16
CLSK,CLSK,crypto,stock,2470,2016-11-16,2026-09-16
WULF,WULF,crypto,stock,2943,2015-01-02,2026-09-16
CIFR,CIFR,crypto,stock,1483,2020-10-20,2026-09-16
BTBT,BTBT,crypto,stock,2135,2018-03-20,2026-09-16
JD,JD,china_adr,stock,2943,2015-01-02,2026-09-16
NTES,NTES,china_adr,stock,2943,2015-01-02,2026-09-16
TME,TME,china_adr,stock,1950,2018-12-12,2026-09-16
TAL,TAL,china_adr,stock,2943,2015-01-02,2026-09-16
BILI,BILI,china_adr,stock,2129,2018-03-28,2026-09-16
IQ,IQ,china_adr,stock,2128,2018-03-29,2026-09-16
T,T,telecom,stock,2943,2015-01-02,2026-09-16
VZ,VZ,telecom,stock,2943,2015-01-02,2026-09-16
TMUS,TMUS,telecom,stock,2943,2015-01-02,2026-09-16
CHTR,CHTR,telecom,stock,2943,2015-01-02,2026-09-16
CMCSA,CMCSA,telecom,stock,2943,2015-01-02,2026-09-16
VOD,VOD,telecom,stock,2943,2015-01-02,2026-09-16
AMX,AMX,telecom,stock,2943,2015-01-02,2026-09-16
CAT,CAT,industrials,stock,2943,2015-01-02,2026-09-16
DE,DE,industrials,stock,2943,2015-01-02,2026-09-16
HON,HON,industrials,stock,2943,2015-01-02,2026-09-16
GE,GE,industrials,stock,2943,2015-01-02,2026-09-16
MMM,MMM,industrials,stock,2943,2015-01-02,2026-09-16
UPS,UPS,industrials,stock,2943,2015-01-02,2026-09-16
FDX,FDX,industrials,stock,2943,2015-01-02,2026-09-16
EMR,EMR,industrials,stock,2943,2015-01-02,2026-09-16
ETN,ETN,industrials,stock,2943,2015-01-02,2026-09-16
ITW,ITW,industrials,stock,2943,2015-01-02,2026-09-16
SPY,SPY,etfs,etf,2943,2015-01-02,2026-09-16
QQQ,QQQ,etfs,etf,2943,2015-01-02,2026-09-16
IWM,IWM,etfs,etf,2943,2015-01-02,2026-09-16
DIA,DIA,etfs,etf,2943,2015-01-02,2026-09-16
VTI,VTI,etfs,etf,2943,2015-01-02,2026-09-16
VOO,VOO,etfs,etf,2943,2015-01-02,2026-09-16
ARKK,ARKK,etfs,etf,2943,2015-01-02,2026-09-16
SOXX,SOXX,etfs,etf,2943,2015-01-02,2026-09-16
XLF,XLF,etfs,etf,2943,2015-01-02,2026-09-16
XLE,XLE,etfs,etf,2943,2015-01-02,2026-09-16
GLD,GLD,etfs,etf,2943,2015-01-02,2026-09-16
TLT,TLT,etfs,etf,2943,2015-01-02,2026-09-16
