security_id,provider_symbol,themes,asset_track
TPR,TPR,luxury,stock
RL,RL,luxury,stock
PVH,PVH,luxury,stock
NFLX,NFLX,media_streaming,stock
DIS,DIS,media_streaming,stock
WBD,WBD,media_streaming,stock
PSKY,PSKY,media_streaming,stock
ROKU,ROKU,media_streaming,stock
SPOT,SPOT,media_streaming,stock
FUBO,FUBO,media_streaming,stock
TKO,TKO,media_streaming,stock
SNAP,SNAP,social_internet,stock
PINS,PINS,social_internet,stock
RDDT,RDDT,social_internet,stock
BIDU,BIDU,social_internet|china_adr,stock
BABA,BABA,social_internet|china_adr,stock
PDD,PDD,social_internet|china_adr,stock
XOM,XOM,energy,stock
CVX,CVX,energy,stock
COP,COP,energy,stock
SLB,SLB,energy,stock
EOG,EOG,energy,stock
MPC,MPC,energy,stock
VLO,VLO,energy,stock
PSX,PSX,energy,stock
OXY,OXY,energy,stock
DVN,DVN,energy,stock
NEE,NEE,utilities,stock
DUK,DUK,utilities,stock
SO,SO,utilities,stock
AEP,AEP,utilities,stock
EXC,EXC,utilities,stock
SRE,SRE,utilities,stock
D,D,utilities,stock
PCG,PCG,utilities,stock
VST,VST,utilities,stock
CEG,CEG,utilities,stock
LMT,LMT,defense_aero,stock
RTX,RTX,defense_aero,stock
NOC,NOC,defense_aero,stock
GD,GD,defense_aero,stock
BA,BA,defense_aero,stock
LHX,LHX,defense_aero,stock
TDG,TDG,defense_aero,stock
HEI,HEI,defense_aero,stock
TXT,TXT,defense_aero,stock
DAL,DAL,airlines,stock
UAL,UAL,airlines,stock
AAL,AAL,airlines,stock
LUV,LUV,airlines,stock
ALK,ALK,airlines,stock
JBLU,JBLU,airlines,stock
RYAAY,RYAAY,airlines,stock
CPA,CPA,airlines,stock
PLD,PLD,real_estate,stock
AMT,AMT,real_estate,stock
EQIX,EQIX,real_estate,stock
CCI,CCI,real_estate,stock
SPG,SPG,real_estate,stock
O,O,real_estate,stock
PSA,PSA,real_estate,stock
DLR,DLR,real_estate,stock
WELL,WELL,real_estate,stock
VICI,VICI,real_estate,stock
MARA,MARA,crypto,stock
RIOT,RIOT,crypto,stock
MSTR,MSTR,crypto,stock
HUT,HUT,crypto,stock
CLSK,CLSK,crypto,stock
WULF,WULF,crypto,stock
CIFR,CIFR,crypto,stock
BTBT,BTBT,crypto,stock
JD,JD,china_adr,stock
NTES,NTES,china_adr,stock
TME,TME,china_adr,stock
TAL,TAL,china_adr,stock
BILI,BILI,china_adr,stock
IQ,IQ,china_adr,stock
T,T,telecom,stock
VZ,VZ,telecom,stock
TMUS,TMUS,telecom,stock
CHTR,CHTR,telecom,stock
CMCSA,CMCSA,telecom,stock
VOD,VOD,telecom,stock
AMX,AMX,telecom,stock
CAT,CAT,industrials,stock
DE,DE,industrials,stock
HON,HON,industrials,stock
GE,GE,industrials,stock
MMM,MMM,industrials,stock
UPS,UPS,industrials,stock
FDX,FDX,industrials,stock
EMR,EMR,industrials,stock
ETN,ETN,industrials,stock
ITW,ITW,industrials,stock
SPY,SPY,etfs,etf
QQQ,QQQ,etfs,etf
IWM,IWM,etfs,etf
DIA,DIA,etfs,etf
VTI,VTI,etfs,etf
VOO,VOO,etfs,etf
ARKK,ARKK,etfs,etf
SOXX,SOXX,etfs,etf
XLF,XLF,etfs,etf
XLE,XLE,etfs,etf
GLD,GLD,etfs,etf
TLT,TLT,etfs,etf
